layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,best_makespan_cycles,lookup_partner_dataflow,lookup_system_bw,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic,ShiDianNao_OS_makespan_cycles,NVDLA_WS_makespan_cycles,Eyeriss_RS_makespan_cycles
CONV4_2_1,NVDLA_WS,401409.0,32.643,13103193.987,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,917505.0,917505.0
CONV4_2_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,238855.07961599997,Eyeriss_RS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1381640.258112,238855.07961599997,296486.83008
CONV4_2_3,NVDLA_WS,401409.0,32.6124,13090910.8716,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,917505.0,917505.0
CONV4_2_Residual,ShiDianNao_OS,4097.0,56.0,229432.0,7169.0,Eyeriss_RS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,7169.0,8623.65681,7169.0
CONV4_3_1,NVDLA_WS,401409.0,32.643,13103193.987,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,917505.0,917505.0
CONV4_3_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,238855.07961599997,Eyeriss_RS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1381640.258112,238855.07961599997,296486.83008
CONV4_3_3,NVDLA_WS,401409.0,32.6124,13090910.8716,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,917505.0,917505.0
CONV4_3_Residual,ShiDianNao_OS,4097.0,56.0,229432.0,7169.0,Eyeriss_RS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,7169.0,8623.65681,7169.0
CONV4_4_1,NVDLA_WS,401409.0,32.643,13103193.987,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,917505.0,917505.0
CONV4_4_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,238855.07961599997,Eyeriss_RS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1381640.258112,238855.07961599997,296486.83008
CONV4_4_3,NVDLA_WS,401409.0,32.6124,13090910.8716,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,917505.0,917505.0
CONV4_4_Residual,ShiDianNao_OS,4097.0,56.0,229432.0,7169.0,Eyeriss_RS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,7169.0,8623.65681,7169.0
CONV4_5_1,NVDLA_WS,401409.0,32.643,13103193.987,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,917505.0,917505.0
CONV4_5_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,238855.07961599997,Eyeriss_RS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1381640.258112,238855.07961599997,296486.83008
CONV4_5_3,NVDLA_WS,401409.0,32.6124,13090910.8716,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,917505.0,917505.0
CONV4_5_Residual,ShiDianNao_OS,4097.0,56.0,229432.0,7169.0,Eyeriss_RS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,7169.0,8623.65681,7169.0
CONV4_6_1,NVDLA_WS,401409.0,32.643,13103193.987,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,917505.0,917505.0
CONV4_6_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,238855.07961599997,Eyeriss_RS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1381640.258112,238855.07961599997,296486.83008
CONV4_6_3,NVDLA_WS,401409.0,32.6124,13090910.8716,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,917505.0,917505.0
CONV4_6_Residual,ShiDianNao_OS,4097.0,56.0,229432.0,7169.0,Eyeriss_RS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,7169.0,8623.65681,7169.0
CONV5_1_1,NVDLA_WS,200705.0,34.5717,6938713.0485,917504.9999999999,Eyeriss_RS,100.0,3670017.0,21.0547,77271106.9299,200705.0,34.5717,6938713.0485,917505.0,14.8499,13624857.499499999,3670017.0000000005,917504.9999999999,917504.9999999999
CONV5_1_2,NVDLA_WS,76803.0,119.368,9167820.503999999,237614.35049799999,Eyeriss_RS,100.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2621441.0,237614.35049799999,251293.20448
CONV5_1_3,NVDLA_WS,401409.0,34.5308,13860973.8972,1835009.0,Eyeriss_RS,100.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,1835009.0,1835009.0
CONV5_1_Residual,ShiDianNao_OS,4097.0,24.5,100376.5,7169.0,Eyeriss_RS,100.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,7169.0,7857.632678,7169.0
CONV5_2_1,Eyeriss_RS,1835009.0,14.2832,26209800.548800003,1835009.0,Eyeriss_RS,100.0,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003,2097153.0,1835009.0000000002,1835009.0
CONV5_2_2,NVDLA_WS,76803.0,119.368,9167820.503999999,237614.35049799999,Eyeriss_RS,100.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2621441.0,237614.35049799999,251293.20448
CONV5_2_3,NVDLA_WS,401409.0,34.5308,13860973.8972,1835009.0,Eyeriss_RS,100.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,1835009.0,1835009.0
CONV5_2_Residual,ShiDianNao_OS,4097.0,24.5,100376.5,7169.0,Eyeriss_RS,100.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,7169.0,7857.632678,7169.0
CONV5_3_1,Eyeriss_RS,1835009.0,14.2832,26209800.548800003,1835009.0,Eyeriss_RS,100.0,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003,2097153.0,1835009.0000000002,1835009.0
CONV5_3_2,NVDLA_WS,76803.0,119.368,9167820.503999999,237614.35049799999,Eyeriss_RS,100.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2621441.0,237614.35049799999,251293.20448
CONV5_3_3,NVDLA_WS,401409.0,34.5308,13860973.8972,1835009.0,Eyeriss_RS,100.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,1835009.0,1835009.0
CONV5_3_Residual,ShiDianNao_OS,4097.0,24.5,100376.5,7169.0,Eyeriss_RS,100.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,7169.0,7857.632678,7169.0
FC1000,Eyeriss_RS,256000.0,587.618,150430208.0,3008604.16,Eyeriss_RS,100.0,102400001.0,1.95952,200654849.95951998,127266.0,1198.65,152547390.9,256000.0,587.618,150430208.0,103653319.45119998,3029775.989,3008604.16
