combo,layer,makespan,bw_util,core0_latency_cycles,core0_avg_bw_req,core0_traffic,core1_latency_cycles,core1_avg_bw_req,core1_traffic,total_traffic
RS_WS,Bottleneck2_2_3,75265.0,0.6407320000000001,75265.0,32.0366,2411234.699,75265.0,32.0366,2411234.699,4822469.398
RS_WS,Bottleneck3_1_1,225793.0,0.240232,225793.0,12.0116,2712135.1988,225793.0,12.0116,2712135.1988,5424270.3976
RS_WS,Bottleneck3_1_2,13367.754480000001,1.0,758.0,881.778,668387.724,758.0,881.778,668387.724,1336775.448
RS_WS,Bottleneck3_1_3,169345.0,0.643,169345.0,32.15,5444441.75,169345.0,32.15,5444441.75,10888883.5
RS_WS,Bottleneck3_2_1,169345.0,0.643,169345.0,32.15,5444441.75,169345.0,32.15,5444441.75,10888883.5
RS_WS,Bottleneck3_2_2,6577.443840000001,1.0,704.0,467.148,328872.19200000004,704.0,467.148,328872.19200000004,657744.3840000001
RS_WS,Bottleneck3_2_3,169345.0,0.643,169345.0,32.15,5444441.75,169345.0,32.15,5444441.75,10888883.5
RS_WS,Bottleneck3_2_Residual,2263.6888,1.0,785.0,144.184,113184.44,785.0,144.184,113184.44,226368.88
RS_WS,Bottleneck3_3_1,169345.0,0.643,169345.0,32.15,5444441.75,169345.0,32.15,5444441.75,10888883.5
RS_WS,Bottleneck3_3_2,6577.443840000001,1.0,704.0,467.148,328872.19200000004,704.0,467.148,328872.19200000004,657744.3840000001
RS_WS,Bottleneck3_3_3,37633.0,0.643028,37633.0,32.1514,1209953.6362,37633.0,32.1514,1209953.6362,2419907.2724
RS_WS,Bottleneck4_1_1,75265.0,0.32123199999999996,75265.0,16.0616,1208876.3239999998,75265.0,16.0616,1208876.3239999998,2417752.6479999996
RS_WS,Bottleneck4_1_2,8228.534599999999,1.0,341.0,1206.53,411426.73,341.0,1206.53,411426.73,822853.46
RS_WS,Bottleneck4_1_3,56449.0,0.651996,56449.0,32.5998,1840226.1102,56449.0,32.5998,1840226.1102,3680452.2204
RS_WS,Bottleneck4_2_1,56449.0,0.651996,56449.0,32.5998,1840226.1102,56449.0,32.5998,1840226.1102,3680452.2204
RS_WS,Bottleneck4_2_2,2175.12,1.0,159.0,684.0,108756.0,159.0,684.0,108756.0,217512.0
RS_WS,Bottleneck4_2_3,56449.0,0.651996,56449.0,32.5998,1840226.1102,56449.0,32.5998,1840226.1102,3680452.2204
RS_WS,Bottleneck4_2_Residual,760.3412000000001,0.9999999999999999,197.0,192.98,38017.06,197.0,192.98,38017.06,76034.12
RS_WS,Bottleneck4_3_1,56449.0,0.651996,56449.0,32.5998,1840226.1102,56449.0,32.5998,1840226.1102,3680452.2204
RS_WS,Bottleneck4_3_2,2175.12,1.0,159.0,684.0,108756.0,159.0,684.0,108756.0,217512.0
RS_WS,Bottleneck4_3_3,56449.0,0.651996,56449.0,32.5998,1840226.1102,56449.0,32.5998,1840226.1102,3680452.2204
RS_WS,Bottleneck4_3_Residual,760.3412000000001,0.9999999999999999,197.0,192.98,38017.06,197.0,192.98,38017.06,76034.12
RS_WS,Bottleneck4_4_1,56449.0,0.651996,56449.0,32.5998,1840226.1102,56449.0,32.5998,1840226.1102,3680452.2204
RS_WS,Bottleneck4_4_2,2175.12,1.0,159.0,684.0,108756.0,159.0,684.0,108756.0,217512.0
RS_WS,Bottleneck4_4_3,18817.0,0.65204,18817.0,32.602,613471.8339999999,18817.0,32.602,613471.8339999999,1226943.6679999998
RS_WS,Bottleneck5_1_1,37633.0,0.64983,37633.0,32.4915,1222752.6195,37633.0,32.4915,1222752.6195,2445505.239
RS_WS,Bottleneck5_1_2,4487.04,1.0,328.0,684.0,224352.0,328.0,684.0,224352.0,448704.0
RS_WS,Bottleneck5_1_3,225793.0,0.652522,225793.0,32.6261,7366744.9973,225793.0,32.6261,7366744.9973,14733489.9946
RS_WS,Bottleneck5_2_1,225793.0,0.652522,225793.0,32.6261,7366744.9973,225793.0,32.6261,7366744.9973,14733489.9946
RS_WS,Bottleneck5_2_2,4487.04,1.0,328.0,684.0,224352.0,328.0,684.0,224352.0,448704.0
RS_WS,Bottleneck5_2_3,56449.0,0.6525400000000001,56449.0,32.627,1841761.523,56449.0,32.627,1841761.523,3683523.046
RS_WS,Bottleneck6_1_1,112897.0,0.65144,112897.0,32.572,3677281.0840000003,112897.0,32.572,3677281.0840000003,7354562.1680000005
RS_WS,Bottleneck6_1_2,5132.16,1.0,198.0,1296.0,256608.0,198.0,1296.0,256608.0,513216.0
RS_WS,Bottleneck5_2_3,56449.0,0.6525400000000001,56449.0,32.627,1841761.523,56449.0,32.627,1841761.523,3683523.046
RS_WS,Bottleneck6_2_1,127008.99999999999,0.690804,127009.0,34.5402,4386916.2617999995,127009.0,34.5402,4386916.2617999995,8773832.523599999
RS_WS,Bottleneck6_2_2,1768.5504,1.0,101.0,875.52,88427.52,101.0,875.52,88427.52,176855.04
RS_WS,Bottleneck6_2_3,127008.99999999999,0.690804,127009.0,34.5402,4386916.2617999995,127009.0,34.5402,4386916.2617999995,8773832.523599999
RS_WS,Bottleneck6_2_Residual,579.91728,1.0,148.0,195.918,28995.864,148.0,195.918,28995.864,57991.728
RS_WS,Bottleneck6_3_1,127008.99999999999,0.690804,127009.0,34.5402,4386916.2617999995,127009.0,34.5402,4386916.2617999995,8773832.523599999
RS_WS,Bottleneck6_3_2,1768.5504,1.0,101.0,875.52,88427.52,101.0,875.52,88427.52,176855.04
RS_WS,Bottleneck6_3_3,35281.0,0.6908299999999999,35281.0,34.5415,1218658.6615,35281.0,34.5415,1218658.6615,2437317.323
RS_WS,Bottleneck7_1_1,70561.0,0.68791,70561.0,34.3955,2426980.8755,70561.0,34.3955,2426980.8755,4853961.751
RS_WS,Bottleneck7_1_2,3151.8720000000003,1.0,144.0,1094.4,157593.6,144.0,1094.4,157593.6,315187.2
RS_WS,Bottleneck7_1_3,117601.0,0.691386,117601.0,34.5693,4065384.2493,117601.0,34.5693,4065384.2493,8130768.4986
RS_WS,CONV2D_2,156801.0,0.68964,156801.0,34.482,5406812.0819999995,156801.0,34.482,5406812.0819999995,10813624.163999999
RS_WS,CONV2D_3,31684.36812,1.0,10001.0,158.406,1584218.406,10001.0,158.406,1584218.406,3168436.812
WS_OS,CONV1,200705.0,0.04000659999999989,200705.0,2.00033,401476.23264999996,200705.0,2.00033,401476.23264999996,802952.4652999999
WS_OS,Bottleneck1_1_1,200705.0,0.32008000000000014,200705.0,16.004,3212082.8200000003,200705.0,16.004,3212082.8200000003,6424165.640000001
