layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic
CONV4_1_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125
CONV4_1_Residual,NVDLA_WS,785.0,257.306,201985.21,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014
CONV4_2_1,NVDLA_WS,401409.0,32.643,13103193.987,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692
CONV4_2_2,Eyeriss_RS,98304.0,150.801,14824341.503999999,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999
CONV4_2_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125
CONV4_2_Residual,NVDLA_WS,785.0,257.306,201985.21,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014
CONV4_3_1,NVDLA_WS,401409.0,32.643,13103193.987,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692
CONV4_3_2,Eyeriss_RS,98304.0,150.801,14824341.503999999,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999
CONV4_3_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125
CONV4_3_Residual,NVDLA_WS,785.0,257.306,201985.21,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014
CONV4_4_1,NVDLA_WS,401409.0,32.643,13103193.987,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692
CONV4_4_2,Eyeriss_RS,98304.0,150.801,14824341.503999999,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999
CONV4_4_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125
CONV4_4_Residual,NVDLA_WS,785.0,257.306,201985.21,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014
CONV4_5_1,NVDLA_WS,401409.0,32.643,13103193.987,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692
CONV4_5_2,Eyeriss_RS,98304.0,150.801,14824341.503999999,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999
CONV4_5_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125
CONV4_5_Residual,NVDLA_WS,785.0,257.306,201985.21,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014
CONV4_6_1,NVDLA_WS,401409.0,32.643,13103193.987,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692
CONV4_6_2,Eyeriss_RS,98304.0,150.801,14824341.503999999,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999
CONV4_6_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125
CONV4_6_Residual,NVDLA_WS,785.0,257.306,201985.21,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014
CONV5_1_1,NVDLA_WS,200705.0,34.5717,6938713.0485,3670017.0,21.0547,77271106.9299,200705.0,34.5717,6938713.0485,917505.0,14.8499,13624857.499499999
CONV5_1_2,NVDLA_WS,76803.0,119.368,9167820.503999999,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224
CONV5_1_3,NVDLA_WS,401409.0,34.5308,13860973.8972,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813
CONV5_1_Residual,NVDLA_WS,393.0,261.224,102661.03199999999,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014
CONV5_2_1,NVDLA_WS,401409.0,34.592,13885540.127999999,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003
CONV5_2_2,NVDLA_WS,76803.0,119.368,9167820.503999999,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224
CONV5_2_3,NVDLA_WS,401409.0,34.5308,13860973.8972,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813
CONV5_2_Residual,NVDLA_WS,393.0,261.224,102661.03199999999,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014
CONV5_3_1,NVDLA_WS,401409.0,34.592,13885540.127999999,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003
CONV5_3_2,NVDLA_WS,76803.0,119.368,9167820.503999999,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224
CONV5_3_3,NVDLA_WS,401409.0,34.5308,13860973.8972,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813
CONV5_3_Residual,NVDLA_WS,393.0,261.224,102661.03199999999,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014
FC1000,NVDLA_WS,127266.0,1198.65,152547390.9,102400001.0,1.95952,200654849.95951998,127266.0,1198.65,152547390.9,256000.0,587.618,150430208.0
