layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,best_makespan_cycles,lookup_partner_dataflow,lookup_system_bw,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic,ShiDianNao_OS_makespan_cycles,NVDLA_WS_makespan_cycles,Eyeriss_RS_makespan_cycles
CONV2_3_Residual,Eyeriss_RS,7169.0,112.001,802935.169,16062.644029999998,NVDLA_WS,100.0,17920.0,112.035,2007667.2,3137.0,256.082,803329.2339999999,7169.0,112.001,802935.169,28109.96434,16066.584679999998,16062.644029999998
CONV3_1_1,NVDLA_WS,200705.0,32.1534,6453348.147,200705.0,NVDLA_WS,100.0,458753.0,56.3557,25853346.4421,200705.0,32.1534,6453348.147,229377.0,56.1956,12889978.1412,458753.0,200705.0,229377.0
CONV3_1_2,NVDLA_WS,129795.0,69.9216,9075474.072,181509.48144,NVDLA_WS,100.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1013779.9988250001,181509.48144,281434.97388800007
CONV3_1_3,NVDLA_WS,401409.0,32.143,12902489.487,401409.0,NVDLA_WS,100.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,1303430.01487,401409.0,458753.0
CONV3_1_Residual,NVDLA_WS,1569.0,256.327,402177.063,8043.541260000001,NVDLA_WS,100.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,13196.81063,8043.541260000001,10500.420044
CONV3_2_1,NVDLA_WS,200705.0,32.1534,6453348.147,200705.0,NVDLA_WS,100.0,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735,651736.04147,200705.0,229376.99999999997
CONV3_2_2,NVDLA_WS,129795.0,69.9216,9075474.072,181509.48144,NVDLA_WS,100.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1013779.9988250001,181509.48144,281434.97388800007
CONV3_2_3,NVDLA_WS,401409.0,32.143,12902489.487,401409.0,NVDLA_WS,100.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,1303430.01487,401409.0,458753.0
CONV3_1_Residual,NVDLA_WS,1569.0,256.327,402177.063,8043.541260000001,NVDLA_WS,100.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,13196.81063,8043.541260000001,10500.420044
CONV3_3_1,NVDLA_WS,200705.0,32.1534,6453348.147,200705.0,NVDLA_WS,100.0,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735,651736.04147,200705.0,229376.99999999997
CONV3_3_2,NVDLA_WS,129795.0,69.9216,9075474.072,181509.48144,NVDLA_WS,100.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1013779.9988250001,181509.48144,281434.97388800007
CONV3_3_3,NVDLA_WS,401409.0,32.143,12902489.487,401409.0,NVDLA_WS,100.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,1303430.01487,401409.0,458753.0
CONV3_3_Residual,NVDLA_WS,1569.0,256.327,402177.063,8043.541260000001,NVDLA_WS,100.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,13196.81063,8043.541260000001,10500.420044
CONV3_4_1,NVDLA_WS,200705.0,32.1534,6453348.147,200705.0,NVDLA_WS,100.0,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735,651736.04147,200705.0,229376.99999999997
CONV3_4_2,NVDLA_WS,129795.0,69.9216,9075474.072,181509.48144,NVDLA_WS,100.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1013779.9988250001,181509.48144,281434.97388800007
CONV3_4_3,NVDLA_WS,401409.0,32.143,12902489.487,401409.0,NVDLA_WS,100.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,1303430.01487,401409.0,458753.0
CONV3_4_Residual,NVDLA_WS,1569.0,256.327,402177.063,8043.541260000001,NVDLA_WS,100.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,13196.81063,8043.541260000001,10500.420044
CONV4_1_1,NVDLA_WS,200705.0,32.633,6549606.265000001,200705.0,NVDLA_WS,100.0,1048577.0,28.6238,30014258.332599998,200705.0,32.633,6549606.265000001,458753.0,28.4175,13036613.3775,1048577.0,200705.0,458753.0
CONV4_1_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,176226.27560999998,NVDLA_WS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1311842.101515,176226.27560999998,238855.07961599997
CONV4_1_3,NVDLA_WS,401409.0,32.6124,13090910.8716,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,401409.0,917505.0
CONV4_1_Residual,NVDLA_WS,785.0,257.306,201985.21,4039.7041999999997,NVDLA_WS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,5771.4521,4039.7041999999997,8623.65681
CONV4_2_1,NVDLA_WS,401409.0,32.643,13103193.987,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,401409.0,917505.0
CONV4_2_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,176226.27560999998,NVDLA_WS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1311842.101515,176226.27560999998,238855.07961599997
CONV4_2_3,NVDLA_WS,401409.0,32.6124,13090910.8716,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,401409.0,917505.0
CONV4_2_Residual,NVDLA_WS,785.0,257.306,201985.21,4039.7041999999997,NVDLA_WS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,5771.4521,4039.7041999999997,8623.65681
CONV4_3_1,NVDLA_WS,401409.0,32.643,13103193.987,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,401409.0,917505.0
CONV4_3_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,176226.27560999998,NVDLA_WS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1311842.101515,176226.27560999998,238855.07961599997
CONV4_3_3,NVDLA_WS,401409.0,32.6124,13090910.8716,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,401409.0,917505.0
CONV4_3_Residual,NVDLA_WS,785.0,257.306,201985.21,4039.7041999999997,NVDLA_WS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,5771.4521,4039.7041999999997,8623.65681
CONV4_4_1,NVDLA_WS,401409.0,32.643,13103193.987,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,401409.0,917505.0
CONV4_4_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,176226.27560999998,NVDLA_WS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1311842.101515,176226.27560999998,238855.07961599997
CONV4_4_3,NVDLA_WS,401409.0,32.6124,13090910.8716,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,401409.0,917505.0
CONV4_4_Residual,NVDLA_WS,785.0,257.306,201985.21,4039.7041999999997,NVDLA_WS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,5771.4521,4039.7041999999997,8623.65681
CONV4_5_1,NVDLA_WS,401409.0,32.643,13103193.987,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,401409.0,917505.0
CONV4_5_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,176226.27560999998,NVDLA_WS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1311842.101515,176226.27560999998,238855.07961599997
CONV4_5_3,NVDLA_WS,401409.0,32.6124,13090910.8716,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,401409.0,917505.0
CONV4_5_Residual,NVDLA_WS,785.0,257.306,201985.21,4039.7041999999997,NVDLA_WS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,5771.4521,4039.7041999999997,8623.65681
CONV4_6_1,NVDLA_WS,401409.0,32.643,13103193.987,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1048577.0,401409.0,917505.0
CONV4_6_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,176226.27560999998,NVDLA_WS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1311842.101515,176226.27560999998,238855.07961599997
CONV4_6_3,NVDLA_WS,401409.0,32.6124,13090910.8716,401409.0,NVDLA_WS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,401409.0,917505.0
CONV4_6_Residual,NVDLA_WS,785.0,257.306,201985.21,4039.7041999999997,NVDLA_WS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,5771.4521,4039.7041999999997,8623.65681
CONV5_1_1,NVDLA_WS,200705.0,34.5717,6938713.0485,200705.0,NVDLA_WS,100.0,3670017.0,21.0547,77271106.9299,200705.0,34.5717,6938713.0485,917505.0,14.8499,13624857.499499999,3670017.0,200705.0,917504.9999999999
CONV5_1_2,NVDLA_WS,76803.0,119.368,9167820.503999999,183356.41007999997,NVDLA_WS,100.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2640229.2794885,183356.41007999997,237614.35049799999
CONV5_1_3,NVDLA_WS,401409.0,34.5308,13860973.8972,401409.0,NVDLA_WS,100.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,401409.0,1835009.0
CONV5_1_Residual,NVDLA_WS,393.0,261.224,102661.03199999999,2053.22064,NVDLA_WS,100.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,4826.89532,2053.22064,7857.632678
CONV5_2_1,NVDLA_WS,401409.0,34.592,13885540.127999999,401409.0,NVDLA_WS,100.0,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003,2097153.0,401409.0,1835009.0000000002
CONV5_2_2,NVDLA_WS,76803.0,119.368,9167820.503999999,183356.41007999997,NVDLA_WS,100.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2640229.2794885,183356.41007999997,237614.35049799999
CONV5_2_3,NVDLA_WS,401409.0,34.5308,13860973.8972,401409.0,NVDLA_WS,100.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,401409.0,1835009.0
CONV5_2_Residual,NVDLA_WS,393.0,261.224,102661.03199999999,2053.22064,NVDLA_WS,100.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,4826.89532,2053.22064,7857.632678
CONV5_3_1,NVDLA_WS,401409.0,34.592,13885540.127999999,401409.0,NVDLA_WS,100.0,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003,2097153.0,401409.0,1835009.0000000002
CONV5_3_2,NVDLA_WS,76803.0,119.368,9167820.503999999,183356.41007999997,NVDLA_WS,100.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2640229.2794885,183356.41007999997,237614.35049799999
CONV5_3_3,NVDLA_WS,401409.0,34.5308,13860973.8972,401409.0,NVDLA_WS,100.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,401409.0,1835009.0
CONV5_3_Residual,NVDLA_WS,393.0,261.224,102661.03199999999,2053.22064,NVDLA_WS,100.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,4826.89532,2053.22064,7857.632678
FC1000,Eyeriss_RS,256000.0,587.618,150430208.0,3029775.989,NVDLA_WS,100.0,102400001.0,1.95952,200654849.95951998,127266.0,1198.65,152547390.9,256000.0,587.618,150430208.0,103800702.7117232,3050947.818,3029775.989
