Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV3_4_3,256,1048576,637207,49,76898,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,100352,65536,8.06334e+10,51380224,312.909,5.2992,3.0981,3055.08,51380224, 58085600, 58085600, 100352, 0.88456, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_4_Residual,256,8192,107270,49,456793,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,401408,512,3.74205e+09,401408,312.909,5.2992,3.0981,3055.08,401408, 454664, 454664, 401408, 0.882867, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV4_1_1,256,1048577,257155,28,108883,4.19047e+08,3374.07,30,28.6238,30,1,28,226,6,1,1,401408,131072,1.14173e+11,29360128,312.909,5.2992,0.7797,3055.08,29360128, 29869112, 29869112, 401408, 0.98296, 29360128, 131072, 131072, 131072, 224, 29360128, 29360128, 200704, 29360128, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 60, 1
Resnet50,CONV4_1_2,256,1310721,219743,64.8,294890,4.19049e+08,3418.89,36,21.3418,36,1,36,930,54,1,1,50176,589824,3.86518e+11,84934656,312.909,47.6928,3.2085,3055.08,84934656, 27361128, 27361128, 50176, 3.10421, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 9437184, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 96, 1.5
Resnet50,CONV4_1_3,256,1048577,606365,49,80809.3,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,50176,262144,8.47348e+10,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56516720, 56516720, 50176, 0.909115, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_1_Residual,256,4097,104026,48.988,470920,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,1024,1.92936e+09,200704,312.909,5.2992,1.5525,3055.08,200704, 221192, 221192, 200704, 0.907375, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_2_1,256,1048577,465672,49,105224,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,262144,1.10336e+11,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56596592, 56596592, 200704, 0.907832, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_2_2,256,1310721,264155,64.8,245310,4.19049e+08,3418.89,36,21.3418,36,1,36,930,54,1,1,50176,589824,3.21533e+11,84934656,312.909,47.6928,3.2085,3055.08,84934656, 27361128, 27361128, 50176, 3.10421, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 9437184, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 96, 1.5
Resnet50,CONV4_2_3,256,1048577,606365,49,80809.3,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,50176,262144,8.47348e+10,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56516720, 56516720, 50176, 0.909115, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_2_Residual,256,4097,104026,48.988,470920,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,1024,1.92936e+09,200704,312.909,5.2992,1.5525,3055.08,200704, 221192, 221192, 200704, 0.907375, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_3_1,256,1048577,465672,49,105224,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,262144,1.10336e+11,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56596592, 56596592, 200704, 0.907832, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_3_2,256,1310721,264155,64.8,245310,4.19049e+08,3418.89,36,21.3418,36,1,36,930,54,1,1,50176,589824,3.21533e+11,84934656,312.909,47.6928,3.2085,3055.08,84934656, 27361128, 27361128, 50176, 3.10421, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 9437184, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 96, 1.5
Resnet50,CONV4_3_3,256,1048577,606365,49,80809.3,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,50176,262144,8.47348e+10,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56516720, 56516720, 50176, 0.909115, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_3_Residual,256,4097,104026,48.988,470920,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,1024,1.92936e+09,200704,312.909,5.2992,1.5525,3055.08,200704, 221192, 221192, 200704, 0.907375, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_4_1,256,1048577,465672,49,105224,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,262144,1.10336e+11,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56596592, 56596592, 200704, 0.907832, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_4_2,256,1310721,264155,64.8,245310,4.19049e+08,3418.89,36,21.3418,36,1,36,930,54,1,1,50176,589824,3.21533e+11,84934656,312.909,47.6928,3.2085,3055.08,84934656, 27361128, 27361128, 50176, 3.10421, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 9437184, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 96, 1.5
Resnet50,CONV4_4_3,256,1048577,606365,49,80809.3,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,50176,262144,8.47348e+10,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56516720, 56516720, 50176, 0.909115, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_4_Residual,256,4097,104026,48.988,470920,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,1024,1.92936e+09,200704,312.909,5.2992,1.5525,3055.08,200704, 221192, 221192, 200704, 0.907375, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_5_1,256,1048577,465672,49,105224,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,262144,1.10336e+11,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56596592, 56596592, 200704, 0.907832, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_5_2,256,1310721,264155,64.8,245310,4.19049e+08,3418.89,36,21.3418,36,1,36,930,54,1,1,50176,589824,3.21533e+11,84934656,312.909,47.6928,3.2085,3055.08,84934656, 27361128, 27361128, 50176, 3.10421, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 9437184, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 96, 1.5
Resnet50,CONV4_5_3,256,1048577,606365,49,80809.3,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,50176,262144,8.47348e+10,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56516720, 56516720, 50176, 0.909115, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_5_Residual,256,4097,104026,48.988,470920,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,1024,1.92936e+09,200704,312.909,5.2992,1.5525,3055.08,200704, 221192, 221192, 200704, 0.907375, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_6_1,256,1048577,465672,49,105224,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,262144,1.10336e+11,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56596592, 56596592, 200704, 0.907832, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_6_2,256,1310721,264155,64.8,245310,4.19049e+08,3418.89,36,21.3418,36,1,36,930,54,1,1,50176,589824,3.21533e+11,84934656,312.909,47.6928,3.2085,3055.08,84934656, 27361128, 27361128, 50176, 3.10421, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 9437184, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 96, 1.5
Resnet50,CONV4_6_3,256,1048577,606365,49,80809.3,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,50176,262144,8.47348e+10,51380224,312.909,5.2992,1.5525,3055.08,51380224, 56516720, 56516720, 50176, 0.909115, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV4_6_Residual,256,4097,104026,48.988,470920,4.19047e+08,3374.84,56,56,56,1,56,450,6,1,1,200704,1024,1.92936e+09,200704,312.909,5.2992,1.5525,3055.08,200704, 221192, 221192, 200704, 0.907375, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 0.75
Resnet50,CONV5_1_1,256,3670017,548748,22,40091.3,4.19047e+08,3373.69,32,21.0547,32,1,9,114,6,1,1,200704,524288,1.47136e+11,80740352,312.909,5.2992,0.3933,3055.08,80740352, 46120988, 46120988, 200704, 1.75062, 80740352, 524288, 524288, 524288, 154, 80740352, 80740352, 100352, 80740352, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 37.3333, 3.5
Resnet50,CONV5_1_2,256,2621441,238206,22.5,94455.8,4.19049e+08,3416.64,11,5.09495,11,1,11,278,54,1,1,25088,2359296,2.4761e+11,58982400,312.909,47.6928,0.9591,3055.08,58982400, 10988649, 10988649, 25088, 5.36758, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 6553600, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 25, 4.41176
Resnet50,CONV5_1_3,256,2097153,513465,24.5,47715,4.19047e+08,3373.98,25,24.5,25,1,25,198,6,1,1,25088,1048576,1.00066e+11,51380224,312.909,5.2992,0.6831,3055.08,51380224, 43954225, 43954225, 25088, 1.16895, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 100352, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 49, 1.13953
Resnet50,CONV5_1_Residual,256,4097,98047.2,24.494,249819,4.19047e+08,3373.98,25,24.5,25,1,25,198,6,1,1,100352,2048,1.02351e+09,100352,312.909,5.2992,0.6831,3055.08,100352, 86023, 86023, 100352, 1.16657, 100352, 2048, 2048, 2048, 49, 100352, 100352, 100352, 100352, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 49, 1.13953
Resnet50,CONV5_2_1,256,2097153,417931,24.5,58622,4.19047e+08,3373.98,25,24.5,25,1,25,198,6,1,1,100352,1048576,1.22939e+11,51380224,312.909,5.2992,0.6831,3055.08,51380224, 44018737, 44018737, 100352, 1.16724, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 25088, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 49, 1.13953
Resnet50,CONV5_2_2,256,2621441,192218,22.5,117055,4.19049e+08,3416.64,11,5.09495,11,1,11,278,54,1,1,25088,2359296,3.06852e+11,58982400,312.909,47.6928,0.9591,3055.08,58982400, 10988649, 10988649, 25088, 5.36758, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 6553600, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 25, 4.41176
Resnet50,CONV5_2_3,256,2097153,513465,24.5,47715,4.19047e+08,3373.98,25,24.5,25,1,25,198,6,1,1,25088,1048576,1.00066e+11,51380224,312.909,5.2992,0.6831,3055.08,51380224, 43954225, 43954225, 25088, 1.16895, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 100352, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 49, 1.13953
Resnet50,CONV5_2_Residual,256,4097,98047.2,24.494,249819,4.19047e+08,3373.98,25,24.5,25,1,25,198,6,1,1,100352,2048,1.02351e+09,100352,312.909,5.2992,0.6831,3055.08,100352, 86023, 86023, 100352, 1.16657, 100352, 2048, 2048, 2048, 49, 100352, 100352, 100352, 100352, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 49, 1.13953
Resnet50,CONV5_3_1,256,2097153,417931,24.5,58622,4.19047e+08,3373.98,25,24.5,25,1,25,198,6,1,1,100352,1048576,1.22939e+11,51380224,312.909,5.2992,0.6831,3055.08,51380224, 44018737, 44018737, 100352, 1.16724, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 25088, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 49, 1.13953
Resnet50,CONV5_3_2,256,2621441,192218,22.5,117055,4.19049e+08,3416.64,11,5.09495,11,1,11,278,54,1,1,25088,2359296,3.06852e+11,58982400,312.909,47.6928,0.9591,3055.08,58982400, 10988649, 10988649, 25088, 5.36758, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 6553600, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 25, 4.41176
